"","source","dim","field","water","famly","species","type","prey_cellularity","vert","major_grouping_prey_1","major_grouping_prey_2","prey","prey_species","prey_type","data_type","replace_prey","starvation_time","temp","interference","preds_per_arena","arena_2d","arena_3d","pred_mass","pred_mass_source_code","pred_mass_reg_code","prey_mass","prey_mass_source_code","prey_mass_reg_code","a_units","mean_r2_of_fits","a","a_low","a_hi","h","h_low","h_hi","n_boots","notes_1","notes_2","alien","aspect_ratio","log_arena","log_pred","log_prey","log_a","log_h","log_se_a","log_se_h","duration","duration_notes","units","locale","country","country_notes","probable_duration","duration_sec","log_duration"
"11","Moss and Beauchamp 2007 J FISH BIOL",3,NA,"Marine","Salmoniformes","Oncorhynchus keta","Juvenile","Metazoan","Invertebrate","Crustacean","Mysid","Mysid shrimp","(Americamysis bahia) Mysidopsis bahia",NA,"Raw data","Y",48,11,NA,"5",NA,50000,12900,"Original species length","Genus",1,"Alternate species length","Zooplankton","m^3 per pred per day",0.51,1.9,1.16,5.29,5.86e-05,3.9e-05,9.19e-05,200,"90",NA,"Y",2.64862,10.8197782844103,9.46498259034976,0,0.641853886172395,-9.74477586138131,-0.994252273343867,-11.5331281722877,1,NA,"npm","Washington","USA",NA,NA,60,4.0943445622221
"12","Soluk 1993 ECOLOGY",2,NA,"Fresh","Scorpaeniformes","Cottus bairdi","Wild caught","Metazoan","Invertebrate","Insect","Baetidae","Mayfly","Baetis tricaudatus","Larva","Mean","N",24,NA,NA,"1",1900,NA,9300,"Original species length","Family",4.96,"Alternate species length","Order","m^2 per pred per day",0.58,0.143,0.0922,0.228,0.00237,2.69e-11,0.00595,200,NA,NA,"N",NA,NA,9.13776967914135,1.60140574073684,-1.94491064872223,-6.0448653238351,-3.67300610495765,-6.73801251574525,1,NA,"n","Ontario","Canada",NA,NA,60,4.0943445622221
"13","Soluk 1993 ECOLOGY",2,NA,"Fresh","Scorpaeniformes","Cottus bairdi","Wild caught","Metazoan","Invertebrate","Insect","Ephemerellidae","Mayfly","Ephemerella subvaria","Larva","Mean","N",24,NA,NA,"1",1900,NA,9300,"Original species length","Family",6.66,"Alternate species length","Order","m^2 per pred per day",0.37,0.0453,0.0229,0.0967,0.0216,4.89e-10,0.048,200,NA,NA,"N",NA,NA,9.13776967914135,1.8961194845523,-3.09444824649315,-3.83506196429202,-4.49184150068109,-4.52820916749085,1,NA,"n","Ontario","Canada",NA,NA,60,4.0943445622221
"14","Miller et al 1992 CAN J FISH AQUAT SCI",3,NA,"Fresh","Clupeiformes","Alosa pseudoharengus","10d old larvae","Metazoan","Invertebrate","Crustacean","Branchiopod","Brine shrimp","Artemia spp.",NA,"Mean","N",24,15,NA,"10",NA,20000,12,"Alternate species length","Species",NA,NA,NA,"m^3 per pred per day",0.92,0.00254,0.00235,0.00274,0.000659,0.000593,0.000737,200,NA,NA,"N",1.831456667,9.90348755253613,2.484906649788,NA,-5.97559119795169,-7.32478702346177,-9.26163366636373,-10.3190029964978,15,"either 15 or 30 minutes","n","Winsconsin","USA",NA,NA,900,6.80239476332431
"15","Miller et al 1992 CAN J FISH AQUAT SCI",3,NA,"Fresh","Perciformes","Perca flavescens","6d old larvae","Metazoan","Invertebrate","Crustacean","Branchiopod","Brine shrimp","Artemia spp.",NA,"Mean","N",24,15,NA,"10",NA,20000,14.1,"Alternate species length","Species",NA,NA,NA,"m^3 per pred per day",0.76,0.00312,0.00272,0.00374,0.000614,0.000534,0.000688,200,NA,NA,"Y",1.23413,9.90348755253613,2.64617479738412,NA,-5.76992227716075,-7.39551562981713,-8.51719319141624,-10.1266311038503,15,"either 15 or 30 minutes","n","Winsconsin","USA",NA,NA,900,6.80239476332431
"16","Miller et al 1992 CAN J FISH AQUAT SCI",3,NA,"Fresh","Salmoniformes","Coregonus hoyi","8d old larvae","Metazoan","Invertebrate","Crustacean","Branchiopod","Brine shrimp","Artemia spp.",NA,"Mean","N",24,15,NA,"10",NA,20000,12.9,"Alternate species length","Species",NA,NA,NA,"m^3 per pred per day",0.59,0.0133,0.0119,0.0151,0.00131,0.00126,0.00136,200,NA,NA,"N",5.41623,9.90348755253613,2.55722731136763,NA,-4.31999124375443,-6.63772814176908,-7.26443022292087,-10.5966347330961,15,"either 15 or 30 minutes","n","Winsconsin","USA",NA,NA,900,6.80239476332431
"17","Miller et al 1992 CAN J FISH AQUAT SCI",3,NA,"Fresh","Clupeiformes","Alosa pseudoharengus","36d old larvae","Metazoan","Invertebrate","Crustacean","Branchiopod","Brine shrimp","Artemia spp.",NA,"Mean","N",24,15,NA,"10",NA,20000,88.3,"Alternate species length","Species",NA,NA,NA,"m^3 per pred per day",0.39,0.183,0.0925,0.304,3.49e-05,2.25e-05,4.31e-05,200,NA,NA,"N",1.831456667,9.90348755253613,4.48074010760991,NA,-1.69826912614072,-10.2630237287559,-3.0955526088362,-11.9909612659132,15,"either 15 or 30 minutes","n","Winsconsin","USA",NA,NA,900,6.80239476332431
"18","Miller et al 1992 CAN J FISH AQUAT SCI",3,NA,"Fresh","Perciformes","Perca flavescens","34d old larvae","Metazoan","Invertebrate","Crustacean","Branchiopod","Brine shrimp","Artemia spp.",NA,"Mean","N",24,15,NA,"10",NA,20000,114,"Alternate species length","Species",NA,NA,NA,"m^3 per pred per day",0.38,0.152,0.0825,0.228,6.75e-05,4.91e-05,8.82e-05,200,NA,NA,"Y",1.23413,9.90348755253613,4.7361984483945,NA,-1.88387475813586,-9.60338296008579,-3.35957570697134,-11.5963070739093,15,"either 15 or 30 minutes","n","Winsconsin","USA",NA,NA,900,6.80239476332431
"19","Miller et al 1992 CAN J FISH AQUAT SCI",3,NA,"Fresh","Salmoniformes","Coregonus hoyi","37d old larvae","Metazoan","Invertebrate","Crustacean","Branchiopod","Brine shrimp","Artemia spp.",NA,"Mean","N",24,15,NA,"10",NA,20000,104,"Alternate species length","Species",NA,NA,NA,"m^3 per pred per day",0.17,1.77,1.15,2.65,3.74e-05,3.4e-05,4.04e-05,200,NA,NA,"N",5.41623,9.90348755253613,4.64439089914137,NA,0.570979546585738,-10.1938398535438,-1.17118298150294,-13.2848823069021,15,"either 15 or 30 minutes","n","Winsconsin","USA",NA,NA,900,6.80239476332431
"20","Miller et al 1992 CAN J FISH AQUAT SCI",3,NA,"Fresh","Clupeiformes","Alosa pseudoharengus","37d old larvae","Metazoan","Invertebrate","Crustacean","Branchiopod","Brine shrimp","Artemia spp.",NA,"Mean","N",24,15,NA,"10",NA,20000,284,"Alternate species length","Species",NA,NA,NA,"m^3 per pred per day",0.58,0.453,0.22,0.646,1.27e-05,9.53e-06,1.67e-05,200,NA,NA,"N",1.831456667,9.90348755253613,5.64897423816121,NA,-0.791863153499103,-11.2739085644997,-2.14986400597638,-13.354926150635,15,"either 15 or 30 minutes","n","Winsconsin","USA",NA,NA,900,6.80239476332431
"21","Miller et al 1992 CAN J FISH AQUAT SCI",3,NA,"Fresh","Perciformes","Perca flavescens","65d old larvae","Metazoan","Invertebrate","Crustacean","Branchiopod","Brine shrimp","Artemia spp.",NA,"Mean","N",24,15,NA,"10",NA,20000,389,"Alternate species length","Species",NA,NA,NA,"m^3 per pred per day",0.52,0.188,0.123,0.269,1.78e-05,1.18e-05,2.32e-05,200,NA,NA,"Y",1.23413,9.90348755253613,5.96357934361845,NA,-1.67131331615219,-10.9363121006662,-3.42651518964645,-12.7168982692962,15,"either 15 or 30 minutes","n","Winsconsin","USA",NA,NA,900,6.80239476332431
"22","Miller et al 1992 CAN J FISH AQUAT SCI",3,NA,"Fresh","Salmoniformes","Coregonus hoyi","67d old larvae","Metazoan","Invertebrate","Crustacean","Branchiopod","Brine shrimp","Artemia spp.",NA,"Mean","N",24,15,NA,"10",NA,20000,352,"Alternate species length","Species",NA,NA,NA,"m^3 per pred per day",0.85,1.23,1.05,1.46,1.55e-05,1.39e-05,1.75e-05,200,NA,NA,"N",5.41623,9.90348755253613,5.8636311755981,NA,0.207014169384326,-11.0746705340391,-2.40794560865187,-14.0386541092785,15,"either 15 or 30 minutes","n","Winsconsin","USA",NA,NA,900,6.80239476332431
"23","Miller et al 1992 CAN J FISH AQUAT SCI",3,NA,"Fresh","Clupeiformes","Alosa pseudoharengus","45d old larvae","Metazoan","Invertebrate","Crustacean","Branchiopod","Brine shrimp","Artemia spp.",NA,"Mean","N",24,15,NA,"10",NA,20000,650,"Alternate species length","Species",NA,NA,NA,"m^3 per pred per day",0.46,5.8,0.614,7.28,1.05e-05,6.09e-06,1.3e-05,200,NA,NA,"N",1.831456667,9.90348755253613,6.47697236288968,NA,1.75785791755237,-11.4641353008008,0.952815506556527,-13.0247830490655,15,"either 15 or 30 minutes","n","Winsconsin","USA",NA,NA,900,6.80239476332431
"24","Miller et al 1992 CAN J FISH AQUAT SCI",3,NA,"Fresh","Perciformes","Perca flavescens","94d old larvae","Metazoan","Invertebrate","Crustacean","Branchiopod","Brine shrimp","Artemia spp.",NA,"Mean","N",24,15,NA,"10",NA,20000,928,"Alternate species length","Species",NA,NA,NA,"m^3 per pred per day",0.42,1.39,0.873,2.12,6.97e-06,5.44e-06,8.73e-06,200,NA,NA,"Y",1.23413,9.90348755253613,6.8330317327862,NA,0.3293037471426,-11.8738953331918,-1.35285958503365,-14.0833900031199,15,"either 15 or 30 minutes","n","Winsconsin","USA",NA,NA,900,6.80239476332431
"25","Miller et al 1992 CAN J FISH AQUAT SCI",3,NA,"Fresh","Salmoniformes","Coregonus hoyi","96d old larvae","Metazoan","Invertebrate","Crustacean","Branchiopod","Brine shrimp","Artemia spp.",NA,"Mean","N",24,15,NA,"10",NA,20000,837,"Alternate species length","Species",NA,NA,NA,"m^3 per pred per day",0.77,10.3,9.31,11.4,6.39e-06,6.12e-06,6.7e-06,200,NA,NA,"N",5.41623,9.90348755253613,6.72982407048948,NA,2.33214389523559,-11.9607762895748,-0.703197516413447,-15.817991058508,15,"either 15 or 30 minutes","n","Winsconsin","USA",NA,NA,900,6.80239476332431
"26","Moustahfid et al 2010 OEC",3,"In the field","Marine","Carcharhiniformes","Squalus acanthias",NA,"Metazoan","Vertebrate","Fish","Clupeidae","Atlantic herring","Clupea harengus",NA,"Raw data","Y",NA,NA,NA,NA,NA,NA,4050000,"Alternate species length","Species",34100,"Alternate species length","Species","m^3 per pred per day",0.53,3060,932,7820,63.9,36.4,86.9,200,NA,NA,"N",NA,NA,15.2142274390827,10.4370526632716,8.02617019494643,4.15731936138349,6.96979066990159,2.62103882411258,1440,"could be 24h-1y","mpy","northeast continental shelf region","USA",NA,NA,86400,11.3667429547921
"27","Moustahfid et al 2010 OEC",3,"In the field","Marine","Carcharhiniformes","Squalus acanthias",NA,"Metazoan","Vertebrate","Fish","Merlucciidae","Silver hake","Merluccius bilinearis",NA,"Raw data","Y",NA,NA,NA,NA,NA,NA,4050000,"Alternate species length","Species",445000,"Alternate species length","Species","m^3 per pred per day",0.08,1.17,0.686,2.08,130,106,193,200,NA,NA,"N",NA,NA,15.2142274390827,13.0058295611484,0.157003748809665,4.86753445045558,-1.41881755282545,2.484906649788,1440,"could be 24h-1y","mpy","northeast continental shelf region","USA",NA,NA,86400,11.3667429547921
"28","Moustahfid et al 2010 OEC",3,"In the field","Marine","Carcharhiniformes","Squalus acanthias",NA,"Metazoan","Vertebrate","Fish","Scombridae","Atlantic mackerel","Scomber scombrus",NA,"Raw data","Y",NA,NA,NA,NA,NA,NA,4050000,"Alternate species length","Species",221000,"Alternate species length","Species","m^3 per pred per day",0.18,93.2,58.2,193,43.4,41.6,104,200,NA,NA,"N",NA,NA,15.2142274390827,12.3059179804999,4.53474772169155,3.77045944110636,2.86220088092947,-0.105360515657828,1440,"could be 24h-1y","mpy","northeast continental shelf region","USA",NA,NA,86400,11.3667429547921
"29","Moustahfid et al 2010 OEC",3,"In the field","Marine","Carcharhiniformes","Squalus acanthias",NA,"Metazoan","Vertebrate","Fish","Loliginidae","Longfin squid","Doryteuthis pealeii",NA,"Raw data","Y",NA,NA,NA,NA,NA,NA,4050000,"Alternate species length","Species",82200,"Alternate species length","Species","m^3 per pred per day",0.08,3.36,2.37,4.71,45.2,16,94.5,200,NA,NA,"N",NA,NA,15.2142274390827,11.3169105810443,1.21194097397511,3.81109708683819,-0.703197516413447,2.68102152871429,1440,"could be 24h-1y","mpy","northeast continental shelf region","USA",NA,NA,86400,11.3667429547921
"30","Moustahfid et al 2010 OEC",3,"In the field","Marine","Gadiformes","Pollachius virens",NA,"Metazoan","Vertebrate","Fish","Clupeidae","Atlantic herring","Clupea harengus",NA,"Raw data","Y",NA,NA,NA,NA,NA,NA,1880000,"Alternate species length","Species",34100,"Alternate species length","Species","m^3 per pred per day",0.28,1200,130,21000,88.9,0.109,179,200,NA,NA,"N",NA,NA,14.4467823348061,10.4370526632716,7.09007683577609,4.48751214251986,6.28226674689601,3.79313811295043,1440,"could be 24h-1y","mpy","northeast continental shelf region","USA",NA,NA,86400,11.3667429547921
"31","Moustahfid et al 2010 OEC",3,"In the field","Marine","Gadiformes","Pollachius virens",NA,"Metazoan","Vertebrate","Fish","Merlucciidae","Silver hake","Merluccius bilinearis",NA,"Raw data","Y",NA,NA,NA,NA,NA,NA,1880000,"Alternate species length","Species",445000,"Alternate species length","Species","m^3 per pred per day",0.35,16.3,11.4,21.6,50.3,18.3,112,200,NA,NA,"N",NA,NA,14.4467823348061,13.0058295611484,2.79116510781272,3.91800507710569,0.896088024556636,2.77258872223978,1440,"could be 24h-1y","mpy","northeast continental shelf region","USA",NA,NA,86400,11.3667429547921
"32","Moustahfid et al 2010 OEC",3,"In the field","Marine","Gadiformes","Merluccius bilinearis",NA,"Metazoan","Vertebrate","Fish","Clupeidae","Atlantic herring","Clupea harengus",NA,"Raw data","Y",NA,NA,NA,NA,NA,NA,445000,"Alternate species length","Species",34100,"Alternate species length","Species","m^3 per pred per day",0.2,51.2,27.5,5740,48,19.2,518,200,NA,NA,"N",NA,NA,13.0058295611484,10.4370526632716,3.93573953204546,3.87120101090789,2.47232786758114,2.66722820658195,1440,"could be 24h-1y","mpy","northeast continental shelf region","USA",NA,NA,86400,11.3667429547921
"33","Moustahfid et al 2010 OEC",3,"In the field","Marine","Gadiformes","Merluccius bilinearis",NA,"Metazoan","Vertebrate","Fish","Merlucciidae","Silver hake","Merluccius bilinearis",NA,"Raw data","Y",NA,NA,NA,NA,NA,NA,445000,"Alternate species length","Species",445000,"Alternate species length","Species","m^3 per pred per day",0.24,3.43,3.09,3.94,288,288,314,200,NA,NA,"N",NA,NA,13.0058295611484,13.0058295611484,1.23256026117785,5.66296048013595,-1.77195684193187,-Inf,1440,"could be 24h-1y","mpy","northeast continental shelf region","USA",NA,NA,86400,11.3667429547921
"34","Moustahfid et al 2010 OEC",3,"In the field","Marine","Gadiformes","Merluccius bilinearis",NA,"Metazoan","Vertebrate","Fish","Scombridae","Atlantic mackerel","Scomber scombrus",NA,"Raw data","Y",NA,NA,NA,NA,NA,NA,445000,"Alternate species length","Species",221000,"Alternate species length","Species","m^3 per pred per day",0.11,4.32,2.43,8.85,130,100,200,200,NA,NA,"N",NA,NA,13.0058295611484,12.3059179804999,1.46325540225602,4.86753445045558,-0.0565703514883942,2.70805020110221,1440,"could be 24h-1y","mpy","northeast continental shelf region","USA",NA,NA,86400,11.3667429547921
"35","Moustahfid et al 2010 OEC",3,"In the field","Marine","Gadiformes","Gadus morhua",NA,"Metazoan","Vertebrate","Fish","Clupeidae","Atlantic herring","Clupea harengus",NA,"Raw data","Y",NA,NA,NA,NA,NA,NA,10300000,"Alternate species length","Species",34100,"Alternate species length","Species","m^3 per pred per day",0.39,8820,1330,135000,20.2,1.78,28.4,200,NA,NA,"N",1.29725,NA,16.1476544531999,10.4370526632716,9.08477714900084,3.00568260440716,8.22817689595132,2.22028985026722,1440,"could be 24h-1y","mpy","northeast continental shelf region","USA",NA,NA,86400,11.3667429547921
"36","Moustahfid et al 2010 OEC",3,"In the field","Marine","Gadiformes","Gadus morhua",NA,"Metazoan","Vertebrate","Fish","Merlucciidae","Silver hake","Merluccius bilinearis",NA,"Raw data","Y",NA,NA,NA,NA,NA,NA,10300000,"Alternate species length","Species",445000,"Alternate species length","Species","m^3 per pred per day",0.17,21.9,16.4,31.8,44.7,44.7,97.1,200,NA,NA,"N",1.29725,NA,16.1476544531999,13.0058295611484,3.08648663682246,3.79997350161952,1.01160091167848,-Inf,1440,"could be 24h-1y","mpy","northeast continental shelf region","USA",NA,NA,86400,11.3667429547921
"37","Moustahfid et al 2010 OEC",3,"In the field","Marine","Gadiformes","Gadus morhua",NA,"Metazoan","Vertebrate","Fish","Scombridae","Atlantic mackerel","Scomber scombrus",NA,"Raw data","Y",NA,NA,NA,NA,NA,NA,10300000,"Alternate species length","Species",221000,"Alternate species length","Species","m^3 per pred per day",0.24,26.8,17.8,49.8,66.8,36,135,200,NA,NA,"N",1.29725,NA,16.1476544531999,12.3059179804999,3.28840188751681,4.2017030805426,1.50407739677627,2.73436750941958,1440,"could be 24h-1y","mpy","northeast continental shelf region","USA",NA,NA,86400,11.3667429547921
"38","Moustahfid et al 2010 OEC",3,"In the field","Marine","Gadiformes","Urophycis tenuis",NA,"Metazoan","Vertebrate","Fish","Clupeidae","Atlantic herring","Clupea harengus",NA,"Raw data","Y",NA,NA,NA,NA,NA,NA,2840000,"Alternate species length","Species",34100,"Alternate species length","Species","m^3 per pred per day",0.29,3940,958,458000,44.6,24.3,69.2,200,NA,NA,"N",NA,NA,14.8593146101374,10.4370526632716,8.27893600229198,3.79773385902602,7.30720231476474,2.3174737054878,1440,"could be 24h-1y","mpy","northeast continental shelf region","USA",NA,NA,86400,11.3667429547921
"39","Moustahfid et al 2010 OEC",3,"In the field","Marine","Gadiformes","Urophycis tenuis",NA,"Metazoan","Vertebrate","Fish","Merlucciidae","Silver hake","Merluccius bilinearis",NA,"Raw data","Y",NA,NA,NA,NA,NA,NA,2840000,"Alternate species length","Species",445000,"Alternate species length","Species","m^3 per pred per day",0.31,32.8,22.3,133,36.3,34.7,340,200,NA,NA,"N",NA,NA,14.8593146101374,13.0058295611484,3.4904285153901,3.5918177412708,1.65822807660353,-0.223143551314213,1440,"could be 24h-1y","mpy","northeast continental shelf region","USA",NA,NA,86400,11.3667429547921
"40","Moustahfid et al 2010 OEC",3,"In the field","Marine","Lophiiformes","Lophius americanus",NA,"Metazoan","Vertebrate","Fish","Clupeidae","Atlantic herring","Clupea harengus",NA,"Raw data","Y",NA,NA,NA,NA,NA,NA,1.4e+07,"Alternate species length","Species",34100,"Alternate species length","Species","m^3 per pred per day",0.12,8020,1050,324000,27.6,10.2,44.2,200,NA,NA,"N",NA,NA,16.4545678875795,10.4370526632716,8.98969370086056,3.3178157727231,8.15622332319462,2.16332302566054,1440,"could be 24h-1y","mpy","northeast continental shelf region","USA",NA,NA,86400,11.3667429547921
"41","Moustahfid et al 2010 OEC",3,"In the field","Marine","Lophiiformes","Lophius americanus",NA,"Metazoan","Vertebrate","Fish","Scombridae","Atlantic mackerel","Scomber scombrus",NA,"Raw data","Y",NA,NA,NA,NA,NA,NA,1.4e+07,"Alternate species length","Species",221000,"Alternate species length","Species","m^3 per pred per day",0.37,121,62.6,543,29.5,12.3,315,200,NA,NA,"N",NA,NA,16.4545678875795,12.3059179804999,4.79579054559674,3.38439026334577,3.37416870927424,2.15176220325946,1440,"could be 24h-1y","mpy","northeast continental shelf region","USA",NA,NA,86400,11.3667429547921
"42","Moustahfid et al 2010 OEC",3,"In the field","Marine","Lophiiformes","Lophius americanus",NA,"Metazoan","Vertebrate","Fish","Loliginidae","Longfin squid","Doryteuthis pealeii",NA,"Raw data","Y",NA,NA,NA,NA,NA,NA,1.4e+07,"Alternate species length","Species",82200,"Alternate species length","Species","m^3 per pred per day",0.07,38.1,4.02,10100,313,22.1,467,200,NA,NA,"N",NA,NA,16.4545678875795,11.3169105810443,3.64021428213266,5.74620319054015,2.83556352140117,4.97983238494121,1440,"could be 24h-1y","mpy","northeast continental shelf region","USA",NA,NA,86400,11.3667429547921
"43","Moustahfid et al 2010 OEC",3,"In the field","Marine","Rajiformes","Leucoraja ocellata",NA,"Metazoan","Vertebrate","Fish","Clupeidae","Atlantic herring","Clupea harengus",NA,"Raw data","Y",NA,NA,NA,NA,NA,NA,3200000,"Alternate species length","Species",34100,"Alternate species length","Species","m^3 per pred per day",0.17,254,35.5,5140,206,5.74,423,200,NA,NA,"N",NA,NA,14.97866136777,10.4370526632716,5.53733426701854,5.32787616878958,4.6936388339757,4.60646934171971,1440,"could be 24h-1y","mpy","northeast continental shelf region","USA",NA,NA,86400,11.3667429547921
